"","logFC","logCPM","PValue","FDR"
"ENSG00000120833",-3.02727781155954,4.45630147579304,5.76342720910597e-18,1.24178802647397e-13
"ENSG00000122884",-2.30694681627402,4.75324032263182,4.1600403987867e-15,4.48161152161291e-11
"ENSG00000134769",1.66816798638042,1.53774047706801,2.02214683111789e-13,1.45230585410887e-09
"ENSG00000132481",1.11073679247584,2.54663570352917,1.15242349899654e-12,6.20752917734485e-09
"ENSG00000248810",2.75136258726041,1.74369370106459,2.21237829053049e-12,9.53358052955397e-09
"ENSG00000258498",-2.4305002583919,1.24863567081251,2.9349171441124e-12,1.05392874645076e-08
"ENSG00000264316",4.29110194639372,6.1350471301038,5.50024898413902e-12,1.69297663731799e-08
"ENSG00000237768",-2.528528702403,2.24573128308331,6.5997242335051e-12,1.77747072918876e-08
"ENSG00000155380",-1.28667107385541,5.12648189004091,2.65038721626719e-11,6.34502699574366e-08
"ENSG00000143507",-1.14512553760573,5.01838409055349,5.42387168810731e-11,1.1686273939196e-07
"ENSG00000060566",-0.717111580333109,5.44591456371651,7.96295311204085e-11,1.55972534320029e-07
"ENSG00000165704",-0.886082479381294,4.44198381205388,1.13506915253896e-10,2.0380166633837e-07
"ENSG00000011295",-0.834814040152638,5.78835634589111,2.60362888259628e-10,4.31521445418611e-07
"ENSG00000140465",-3.43097187190301,4.63235091893893,5.72167567318057e-10,8.27998384354278e-07
"ENSG00000134986",-1.10942481351532,4.70904571501686,5.76439977968726e-10,8.27998384354278e-07
"ENSG00000129422",-0.685060713513198,5.04867805562396,8.18812125433178e-10,1.10263287841145e-06
"ENSG00000246859",-1.09756527486259,4.60498332665407,1.37956590888228e-09,1.74847806310457e-06
"ENSG00000135750",-1.19390787101941,2.32827260895522,3.4227494588363e-09,4.09703110222705e-06
"ENSG00000253196",-1.36647708835221,2.74817308477676,3.98726544531783e-09,4.52155901499042e-06
"ENSG00000251443",-2.4800579826711,0.519105026665766,4.63832152484989e-09,4.99686377872078e-06
"ENSG00000102858",0.595728898986537,2.80339897853774,5.231092929392e-09,5.3671013455562e-06
